Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Terraria,,44.5,505 Games,2011,Series,,,,,,
Terraria,,44.5,Re-Logic,2011,All,,,,,,
Uncharted,,44.25,Sony Interactive Entertainment,2007,Series,,,,,,
Wii Fit,,43.8,Nintendo,2008,Series,,,,,,
Star Wars: Battlefront,,43,LucasArts,2004,Series,,,,,,
Harry Potter,,42.7,Electronic Arts,2001,Series,,,,,,
Total War,,42.15,Sega,2000,Series,,,,,,
Animal Crossing: New Horizons,,41.59,Nintendo,2020,NS,,,,,,
BioShock,,41,2K Games,2007,Series,,,,,,
Gears of War,,41,Microsoft Game Studios,2006,Series,,,,,,
Spider-Man,,41,Parker Brothers,1982,Series,,,,,,
World of WarCraft,,40.6,Blizzard Entertainment,2004,Series,,,,,,
Super Mario Bros.,,40.24,Nintendo,1985,NES,,,,,8.2,10
Counter-Strike: Global Offensive,,40,Valve,2012,PC,,,,,,
Guitar Hero,,40,Activision,2005,Series,,,,,,
The Witcher 3: Wild Hunt,,40,Warner Bros. Interactive Entertainment,2015,All,,,,,,
Medal of Honor,,39,Electronic Arts,1999,Series,,,,,,
Mega Man,,38,Capcom,1987,Series,,,,,,
Mario Kart Wii,,37.38,Nintendo,2008,Wii,,,,,9.1,8.2
The Last of Us,,37,Sony Interactive Entertainment,2013,Series,,,,,,
PLAYERUNKNOWN'S BATTLEGROUNDS,,36.6,PUBG Corporation,2017,PC,,,,,,
Kingdom Hearts,,36,Square Enix,2002,Series,,,,,,
Tom Clancy's Rainbow Six,,36,Ubisoft,1998,Series,,,,,,
Souls,,35.8,Bandai Namco Entertainment,2009,Series,,,,,,
Brain Age,,35.09,Nintendo,2006,Series,,,,,,
NBA Live,,35,EA Sports,1994,Series,,,,,,
Tom Clancy's Ghost Recon,,35,Ubisoft,2001,Series,,,,,,
Dark Souls,,33.4,Bandai Namco Entertainment,2011,Series,,,,,,
Football Manager,,33.33,Sega,2004,Series,,,,,,
Minecraft,,33.15,Mojang,2010,PC,,,,,,10
Wii Sports Resort,,33.14,Nintendo,2009,Wii,,,,,8.8,8
Half-life,,33.1,Valve,1998,Series,,,,,,
Marvel's Spider-Man,,33,Sony Interactive Entertainment,2018,Series,,,,,,
Saints Row,,32,THQ,2006,Series,,,,,,
