Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Tatsunoko vs. Capcom: Ultimate All-Stars,Capcom,8.3,,,0.54,2010,Fighting
Doraemon: Shin Nobita no Nihon Tanjou,FuRyu Corporation,,,,0.05,2016,Misc
PukuPuku Tennen Kairanban,Victor Interactive,,,,,2002,Action
Bug!,Sega,,,0.15,,1995,Platform
Kevin Van Dam: Big Bass Challenge,Zoo Games,,,,0.03,2010,Sports
Dragon Ball Heroes: Ultimate Mission 2,Namco Bandai Games,,,,0.34,2014,Fighting
UBERMOSH Vol.3,Walter Machado,,,,,2016,Action
Wizardry: Dimguil,ASCII Entertainment,,,,,2000,Role-Playing
Dangerous High School Girls in Trouble,Unknown,,,,,2008,Role-Playing
Video Chess,Atari,,,,,1978,Misc
Galaxy Robo,Imagineer,,,,,1994,Role-Playing
Pachi-Slot Teiou 7,Media Entertainment,,,,,2000,Misc
Memories Off After Rain Vol.2: Souen,KID,,,,,2005,Adventure
Stellar 7,Sierra Entertainment,,,,,1990,Simulation
Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu,Vap,,,,,1995,Misc
X OVER,Microsoft,,,,,2009,Shooter
Ship Simulator Extremes: Harbor Pilot,Paradox Interactive,,,,,2011,Simulation
Obscure,DreamCatcher Interactive,6.8,,,0.07,2005,Adventure
Wasteland Remastered,inXile Entertainment,,,,,2020,Role-Playing
Caverns of Xaskazien,Unknown,,,,,1995,Role-Playing
Combat Mission Anthology,Take-Two Interactive,,,,,2006,Strategy
Lingolu,Microsoft,,,,,2011,Racing
Patriots: A Nation Under Fire,DreamCatcher Interactive,,,,,2007,Action
Ship Simulator 2006 Add-On,Lighthouse Interactive,,,,,2007,Simulation
Ratchet & Clank: Going Commando,Sony Computer Entertainment,,,,,2012,Misc
Crusader Kings,Paradox Interactive,,,,,2012,Misc
Ghostbusters Paranormal Blast,XMG Studio Inc.,,,,,2012,Action
Ace Attorney,Capcom,,,9.6,,2005,Adventure
Monster World IV,Sega,,,,,1994,Platform
Jikkyou Powerful Pro Yakyuu Portable 3,Konami,,,,0.31,2008,Sports
Tokyo Friend Pack II Ketteiban: Minna de Chousen! Taikan Attraction,Spike,,,,,2009,Action
Mahjong,Nintendo,,,2.14,,1983,Misc
Super Win the Game,Minor Key Games,,,,,2015,Misc
What's Shenmue,Sega,,,,,1999,Adventure
Hoyle Puzzle & Board Games 2009,Encore,,,,,2008,Misc
Bleach: Soul Resurreccion,NIS America,6.7,,,0.51,2011,Fighting
Second Sight,Codemasters,7,,,0,2005,Adventure
Skate or Die: Tour de Thrash,EA Sports,,,,,1991,Sports
Parlor! Mini,Nippon Telenet,,,,,1996,Misc
Netsu Chu! Pro Yakyuu 2003,Namco,,,,0.28,2003,Sports
SimFarm,Maxis,,,,0,1993,Simulation
UEFA Euro 2004,EA Sports,,,1,,2004,Sports
EverQuest Online Adventures: Frontiers,Sony Online Entertainment,,,,0.19,2003,Role-Playing
Exed Exes,Tokuma Shoten,,,,,1985,Shooter
Plantera Deluxe,Ratalaika Games,,,,,2017,Simulation
Space Noir,Unity Games,,,,,2014,Misc
The Idolmaster 2,Namco Bandai,,,,0.05,2011,Simulation
Amazing Princess Sarah,Haruneko,,,,,2014,Platform
Animal Yokochou: Doki*Doki Shinkyuu Shiken! no Kan,Konami,,,,,2006,Action
Candace Kane's Candy Factory,Destineer,,,,0.15,2008,Action
Famicom Mukashi Banashi: Yuuyuuki - Kouhen (FDS),Nintendo,,,,,1989,Adventure
Icomania Guess The Icon Quiz,Unknown,,,,,2014,Action
J-League Jikkyou Winning Eleven 2001,Konami,,,,,2001,Sports
True Fortune,Enterbrain,,,,0,2008,Adventure
Rumble Massage,Microsoft,,,,,2009,Misc
Blood Will Tell: Tezuka Osamu's Dororo,Sega,,,,0.04,2004,Adventure
Mario + Rabbids: Kingdom Battle,Ubisoft,8.3,,2,,2017,Strategy
Hidden Objects: Mystery Stories,Navarre Corp,,,,0.66,2010,Adventure
The Mahjong,D3Publisher,,,,0,2018,Puzzle
Nuclear Strike 64,THQ,,,,0.11,1999,Simulation
Hot Wheels: Burnin' Rubber,THQ,8,,,0.06,2001,Racing
Super Robot Wars OG: The Moon Dwellers,Namco Bandai Games,,,,0.11,2016,Misc
Katakoi Contrast: Collection of Branch,Idea Factory,,,,,2019,Visual Novel
Roommate Asami: Okusama wa Joshikousei Director's Edition,Datam Polystar,,,,,2002,Adventure
Shin Megami Tensei IV: Apocalypse,Atlus,8.1,,,0.37,2016,Role-Playing
Super Bubsy,Accolade,,,,,1995,Platform
Just Sing!,Conspiracy Entertainment,,,,0.16,2010,Misc
Buck Bumble,Ubisoft,6.8,,,0.16,1998,Action
Anomaly 2,11 bit studios,,,0.15,,2013,Misc
Hitman 3,IO Interactive,,,,,2021,Action-Adventure
Rolan's Curse,Sammy Corporation,,,,,1991,Role-Playing
Disney Hidden Worlds,Oddworld Inhabitans,,,,,2013,Misc
Terminal Velocity,3D Realms,,,,,1995,Action
Return of Arcade,Microsoft,,,,,1996,Misc
South Park Let's Go Tower Defense Play!,Microsoft,7.8,,,,2009,Strategy
Missing Parts: The Tantei Stories,Fog,,,,,2002,Adventure
Railroad Tycoon,Microprose,,,,,1990,Strategy
Guitar Hero: Smash Hits,Activision,7.5,,,0.58,2009,Misc
Blast Zone! Tournament,Victory Lap Games,,,,,2018,Strategy
Yakitate!! Japan Game 1 Gou Choujou Kessen!! Pantasic Grand Prix!,Bandai,,,,,2006,Misc
We're Back - A Dinosaurs Tale,Hi Tech Expressions,,,,,1993,Action
Soukyu-Gurentai: Oubushustugeki,Data East,,,,,1997,Shooter
Scions of Fate,Unknown,,,,,2006,Role-Playing
Space Station Silicon Valley,Take-Two Interactive,8.3,,,0.15,1998,Adventure
Herman,Microsoft,,,,,2009,Action
Marsupilami,Sega,,,,,1995,Platform
Noby Noby Boy,Namco Bandai,,,,,2009,Puzzle
Dead or Alive 5 Ultimate,Tecmo Koei,,,,,2013,Fighting
Backyard Sports: Sandlot Sluggers,Atari,,,,0.15,2010,Sports
Earthworm Jim Special Edition,Playmates,,,,,1995,Platform
Scooby-Doo,THQ,,,,0.46,2001,Platform
Suzumiya Haruhi no Yakusoku,Namco Bandai,,,,0.15,2007,Adventure
Gintama no Sugoroku,Namco Bandai Games,,,,0.06,2013,Misc
Kunoichi Sakuya: Shinobishi Omoi wa Chijoku ni Narete...,Rune,,,,,2006,Adventure
Riding Spirits,BAM! Entertainment,,,,0.26,2002,Racing
Groovin' Blocks,Zoo Games,,,,0.01,2009,Puzzle
Langrisser: Dramatic Edition,NCS,,,,,1998,Strategy
Learn with Pokémon: Typing Adventure,Nintendo,,,,0.29,2011,Misc
Classic Sokoban,Unknown,,,,,2015,Misc
Segata Sanshirou Shinken Yuugi,Sega,,,,,1998,Misc
Ion Assault,RTL,,,,,2009,Shooter
Kakinoki Shogi,ASCII Entertainment,,,,,1994,Misc
Xenoblade Chronicles 3,Nintendo,,,1.72,,2022,Role-Playing
Space Invaders Anniversary,Empire Interactive,,,,,2004,Shooter
Venture,Coleco,,,,,1982,Action
S.Y.K Portable Twin Pack,Idea Factory,,,,,2011,Adventure
Mass Effect: Bring Down the Sky,Electronic Arts,,,,,2008,Role-Playing
Star Wars Galaxies: Trials of Obi-Wan,LucasArts,,,,,2005,Role-Playing
Sekai Saikyou Ginsei Igo: Hybrid Monte Carlo,SilverStar,,,,,2010,Misc
Paperboy (GBC),Midway Games,,,,,1999,Action
Battleship / Connect Four / Sorry! / Trouble,"Destination Software, Inc",,,,0.05,2006,Puzzle
Hellpoint,TinyBuild Games,,,,,2020,Role-Playing
Elemental: War of Magic,Stardock,,,0.08,,2010,Strategy
Magical Drop,Data East,,,,,1995,Puzzle
Kurokami Otome Tai,Honey Pot,,,,,2005,Adventure
The Elder Scrolls V: Skyrim,Bethesda Softworks,,,30,,2011,Role-Playing
Super Robot Wars,Bandai,,,20.06,,1991,Role-Playing
Wizardry: Proving Grounds of the Mad Overlord,Sirtech,,,0.2,,1981,Role-Playing
Mega Man 8 Anniversary Collector's Edition,Capcom,,,,0.88,1997,Platform
Face Off (Arcade),Namco Bandai,,,,,2009,Sports
Revolver 360,Microsoft,,,,,2010,Shooter
Legend of Kay Anniversary,Nordic Games,,,,0.07,2015,Action
Real Bout Garou Densetsu Special: Dominated Mind,SNK Playmore,,,,,2007,Fighting
Pro Yakyuu Spirits 2014,Konami Digital Entertainment,,,,0.14,2014,Sports
Dark (2013),Kalypso Media,,,,,2013,Misc
Tales of Destiny II,Namco,7.5,,,0.81,2001,Role-Playing
Retro One,Microsoft,,,,,2008,Action
XS,GT Interactive,,,,,1996,Shooter
Derby Analyst,Media Entertainment,,,,,1997,Sports
GoldenEye 007,Nintendo,9.8,,8.09,,1997,Shooter
Samurai Warriors Chronicles 3,Tecmo Koei,,,,0.08,2015,Action
Jill of the Jungle: Jill Saves The Prince,Epic Games,,,,,1992,Platform
Rainbow Islands Revolution,Codemasters,,,,0.02,2006,Platform
Star Wars Chess,Software Toolworks,,,,,1993,Misc
Fake Colours,Good-feel Co. Ltd.,,,,,2014,Puzzle
Narimono Note,SkunkWorks,,,,,2007,Adventure
Naruto: Clash of Ninja 2,D3 Publisher,7.4,,,1.04,2006,Fighting
Robot Wars: Advanced Destruction,VU Games,,,,,2002,Racing
Comanche: Maximum Overkill,NovaLogic,,,,,1992,Simulation
Sengoku BASARA,Capcom,,,4.1,,2005,Action
The Wizard's Castle,Unknown,,,,,1981,Adventure
Power Pro Kun Pocket 12,Konami,,,,0.19,2009,Sports
A Rat’s Quest: The Way Back Home,HandyGames,,,,,2020,Action-Adventure
Always Remember Me,Winter Wolves Game Studio,,,,,2011,Misc
Dynasty Warriors 7: Xtreme Legends,KOEI,,,0.16,,2011,Action
Barbie: Race & Ride,Mattel Interactive,,,,0.59,1999,Action
Running with Friends,Zynga,,,,,2013,Misc
Umibe de Reach!,Mycom,,,,,1998,Misc
Kakikomi Shiki 'Hannya Shingyou' Renshuu Chou DS,IE Institute,,,,,2007,Misc
Bo Jackson Baseball,Data East,,,,,1991,Sports
Aero Guitar,Yudo,,,,,2008,Misc
The Raven Remastered,THQ Nordic,,8.4,,0.03,2018,Adventure
Date-A-Live Twin Edition: Rio Reincarnation,Compile Heart,,,,0.02,2015,Action
Centipede & Millipede,Atari,,,,,2007,Shooter
Red Dead Redemption: Legends & Killers,Rockstar Games,,,,,2010,Action
SaGa,Sunsoft,,,10.1,,1990,Role-Playing
Power of Defense,Unknown,,,,,2010,Strategy
Lunar: Dragon Song,Ubisoft,5.9,,,0.12,2005,Role-Playing
Pop'n Music Portable 2,Konami,,,,0.06,2011,Misc
Comic Party Portable,Aquaplus,,,,,2005,Adventure
Virtual Open Tennis,Acclaim Entertainment,,,,,1996,Sports
Royal Defenders,Mobage,,,,,2014,Action
Police Force,Excalibur Publishing Limited,,,,,2011,Misc
Nobunaga Kouki,Yanoman,,,,,1993,Strategy
SingStar Singalong With Disney,Sony Computer Entertainment,,,,0.61,2008,Misc
Legend of Illusion starring Mickey Mouse,Tec Toy,,,,,1994,Platform
J-League Pro Soccer Club o Tsukurou! 5,Sega,,,,0.19,2007,Sports
Evil Twin: Cyprien's Chronicles,Unknown,,,,,2020,Platform
Myst: Masterpiece Edition,Red Orb,,,,0,1999,Adventure
Combat Ace,Phoenix Games,,,,,2006,Action
Naruto Shippuden: Ultimate Ninja Storm Revolution,Bandai Namco Games,,,1,,2014,Fighting
Digital Devil Story: Megami Tensei II,Namco,,,,,1990,Role-Playing
Starsky & Hutch,Gotham Games,6,,,0.92,2003,Racing
Animal Breeder,J-Wing,,,,,1997,Strategy
Fabulous Finds,ValuSoft,,,,0.11,2009,Puzzle
Hitman HD Enhanced Collection,IO Interactive,,,,,2019,Action
Virtua Fighter 2 (Genesis),Sega,,,,,2010,Fighting
Trivial Pursuit: Bet You Know It,Electronic Arts,,,,0.16,2011,Misc
Spyro Superpack,Vivendi Games,,,,,2005,Action
White Haven Mysteries,Big Fish Games,,,,,2012,Misc
7 Sins,Digital Jesters,,,,,2005,Simulation
Jan Sangoku Musou 2,KOEI,,,,,2017,Misc
b.l.u.e.: Legend of Water,Hudson Soft,,,,0.04,1998,Adventure
Big Rigs: Over the Road Racing,GameMill,,,,,2003,Racing
Euro Truck Simulator 2,SCS Software,8.5,,5.98,,2013,Simulation
Derby Jockey 2,Asmik Corp,,,,0.1,1995,Sports
Lara Croft and the Guardian of Light,Square Enix,,,1,,2010,Action-Adventure
Isolated Warrior,Vap,,,,,1991,Shooter
LOLCats,Microsoft,,,,,2009,Misc
Untitled Goose Game,Panic,,,1,,2009,Simulation
Double Rivals Attack Pack!,Sega,,,,,2011,Action
Dress To Play: Cute Witches!,EnjoyUp Games,,,,,2012,Misc
18 Wheels of Steel: Pedal to the Metal,ValuSoft,,,,,2004,Racing
Alien Olympics 2044 AD,Ocean,,,,,1992,Sports
Zoids: Jashin Fukkatsu! Genobreaker Hen,Tomy Corporation,,,,,2000,Role-Playing
Stormdivers,Housemarque,,,,,2019,Shooter
Flying Dragon: The Secret Scroll,Culture Brain,,,,,1989,Adventure
Osouji Sentai Clean Keeper H,Idea Factory,,,,0,2009,Adventure
Darius R,Pacific Century Cyber Works,,,,,2002,Shooter
Human Grand Prix III: F1 Triple Battle,Human Entertainment,,,,,1994,Racing
Madden NFL 13,EA Sports,8,,,2.93,2012,Sports
Takt of Magic,Nintendo,,,,0.01,2009,Role-Playing
Hasbro Family Game Night Fun Pack,Electronic Arts,,,,0.11,2011,Misc
Learning with the PooYoos: Episode 2,Lexis Numerique,7,,,,2010,Misc
SWASHBUCKEL UR SEATBELTS,Microsoft,,,,,2011,Action
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,Irem Software Engineering,,,,0.07,2009,Action
The House of The Dead III,Sega,6.8,,,0.39,2002,Shooter
Scorcher,Scavenger,,,,,1996,Racing
Pirates Assault,CIRCLE Entertainment,,,,,2012,Misc
River City Girls,WayForward Technologies,,,,,2019,Action
X-Men,Sega,,,,,1994,Platform
Life is Strange,Square Enix,,,3,,2015,Adventure
Copter Crisis,Digital Leisure Inc.,,,,,2009,Simulation
Mini-4 Boy II,J-Wing,,,,,1997,Strategy
Dance Dance Revolution Party Collection,Konami,,,,,2003,Simulation
Aikatsu! 2-nin no My Princess,Namco Bandai Games,,,,0.27,2013,Simulation
Kingdom Come: Deliverance,Warhorse Studios,,,,,2016,Misc
Men at Work! 4,Studio e-go,,,,,2006,Role-Playing
Burnout Dominator,Electronic Arts,7.8,,,0.45,2007,Racing
King's Quest VII: The Princeless Bride,Sierra Entertainment,,,,,1994,Adventure
Cross Ange: Tenshi to Ryuu no Rondo tr.,Namco Bandai Games,,,,0.02,2015,Action
Sushi Striker: The Way of Sushido,Nintendo,7.9,,,0.07,2018,Puzzle
Game of Thrones,Atlus,,,0.27,,2012,Role-Playing
Grand Theft Auto III,Rockstar Games,9.5,,,13.1,2001,Action
Blitzkrieg 2: Fall of the Reich,CDV Software Entertainment,,,,,2007,Strategy
Jaka Jaka Music!,Plato,,,,,2010,Misc
Relaxuma na Mainichi,Imagineer,,,,,2005,Action
Sloane to MacHale no Nazo no Monogatari,Level 5,,,,0.2,2009,Puzzle
The Lord of the Rings: War in the North,Warner Bros. Interactive,6.6,,,0.88,2011,Role-Playing
Midnight Pool,Gameloft,,,,,2008,Sports
Lake Masters PRO for Dreamcast Plus!,Dazz,,,,,2000,Sports
ActRaiser,Enix,,,,,1991,Misc
Clover no Kuni no Alice,Prototype,,,,0.02,2010,Adventure
Alien: Isolation,Sega,,,,1.09,2014,Adventure
School Wars,Quinrose,,,,0.01,2012,Visual Novel
Armorines: Project S.W.A.R.M.,Acclaim Entertainment,6.2,,,0.26,1999,Shooter
Jumper: Griffin's Story,Brash Entertainment,,,,0.09,2008,Action
Mega Man Legacy Collection,Capcom,,,1.3,,2015,Platform
Professional Lumberjack 2016,Namco Bandai Games,,,,,2015,Simulation
Five Nights at Freddy?s VR: Help Wanted,ScottGames,,,,,2019,Simulation
Game & Watch Gallery 3,Nintendo,,,1.22,,1999,Misc
Hot Wheels: Stunt Track Challenge,THQ,,,,0.59,2004,Racing
Pingu no Waku Waku Carnival!,Square Enix,,,,0,2008,Misc
Volfoss,Namco,,,,,2001,Strategy
TV Superstars,Sony Computer Entertainment,6.2,,,0.26,2010,Misc
Dr. Robotnik's Mean Bean Machine,Sega,,,,,2006,Puzzle
Naughty Bear: Double Trouble,505 Games,,,,0,2012,Action
Naruto Shippuden: Ultimate Ninja Storm Generations,Namco Bandai Games,,,,0.74,2012,Fighting
BeatMania GB,Konami,,,,,1999,Simulation
Hangman's Revenge!,Microsoft,,,,,2009,Shooter
Wolfenstein 3-D,Imagineer,,,,,1994,Shooter
Wizard’s Tower Screen Saver,Microsoft,,,,,2009,Misc
Jurassic Park: The Game,Telltale Games,,,,0.16,2011,Action
HTR+ Slot Car Simulation,Libredia Entertainment,,,,,2014,Racing
Gothic Fiction: Dark Saga,Big Fish Games,,,,0.01,2015,Puzzle
Ueki no Housoku: Taosu ze Robert Juudan!!,Bandai,,,,,2006,Action
Mickey Mouse: Magic Wands!,Nintendo,,,,,1998,Platform
New Game! The Challenge Stage!,5pb,,,,0.02,2017,Adventure
Ice Cream Surfer,Dolores Entertainment SL,,,,,2014,Action
Jazz Jackrabbit 2,Epic Games,,,,,1998,Platform
The Shadow of Zorro,Cryo Interactive,,,,,2002,Action
SD Hiryu no Ken Densetsu,Culture Brain,,,,,1999,Fighting
The Game of Life: SpongeBob SquarePants Edition,ValuSoft,,,,,2008,Misc
Tumble Pop,Sunsoft,,,,,1993,Action
World Class Rugby,Imagineer,,,,,1993,Sports
Bio Senshi Dan: Increaser tono Tatakai,Jaleco,,,,,1987,Action
Blast Chamber,Activision,,,,,1997,Action
Pro Yakyuu Spirits 6,Konami,,,,0.15,2009,Sports
Oni Isha,Saga Planets,,,,,2002,Adventure
Nancy Drew: The Model Mysteries,THQ,,,,0.1,2010,Puzzle
Triple Running Sports,The Code Monkeys,,,,,2010,Sports
Shivers Two: Harvest of Souls,Sierra Online,,,,,1997,Adventure
Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,,,,0.06,1991,Action
.hack//fragment,Namco Bandai,,,,,2005,Role-Playing
Akudaikan Manyuuki,Global A Entertainment,,,,,2006,Adventure
Need for Speed Underground Rivals,Electronic Arts,7.6,,,1.32,2005,Racing
LEGO Knights' Kingdom,THQ,,,,0.11,2004,Action
Chaos;Child: Love Chu Chu!!,5pb,,,,0.01,2017,Visual Novel
Power Tennis,Hudson Soft,,,,,1993,Sports
Ray-Thunder,Nichibutsu,,,,,1991,Shooter
Virtual City Playground,G5 Entertainment,,,,,2011,Misc
Harvest Moon: Grand Bazaar,Natsume,,,,0.41,2010,Simulation
Densha de Go! Nagoya Tetsudou Hen,Taito,,,,,2000,Simulation
Akane the Kunoichi,Haruneko,,,,,2014,Misc
RPG Tsukuru DS,Enterbrain,,,,0.05,2010,Role-Playing
Junktopia,Mobo Studio,,,,,2013,Misc
Simple 1500 Jitsuyou Series Vol. 9: Watashi Style no Aromatherapy,D3 Publisher,,,,,2001,Misc
Scarlet Legacy,Unknown,,,,,2020,Role-Playing
Susano O Densetsu,Hudson Soft,,,,,1989,Role-Playing
AbalaBurn,Takara,,,,,1998,Action
Murphy da yo Zenin Shuugou,Unknown,,,,,1994,Action
Hiiro no Kakera: Twin Pack,Idea Factory,,,,,2011,Adventure
Monster Hunter Frontier Online,Capcom,,,,,2007,Misc
Karan Koron Gakuen: Munekyun Hen,J-Wing,,,,,2000,Misc
Fantasy Zone,Sega,,,,,1986,Shooter
Mirai Shounen Conan,Nippon Telenet,,,,,1992,Action
Nicktoons: Battle for Volcano Island,THQ,,,,0.29,2006,Action
Dragon Hunters,Playlogic Game Factory,,,,,2008,Action
Monster Sanctuary,Team 17,,,,,2019,Action-Adventure
Kidz Sports: Ice Hockey,Bold Games,,,,0.01,2008,Sports
Winning Post 7 Maximum 2008,KOEI,,,,0.01,2008,Sports
Fatal Fury: Battle Archives Volume 2,SNK Playmore,,,,0.07,2008,Fighting
Mind Warp,Microsoft,,,,,2009,Misc
Sky Target,Sega,,,,,1997,Shooter
Swashbucklers: Blue vs. Grey,Atari,,,,,2007,Action
Sonic Boom: Shattered Crystal,Sega,3.8,,,0.29,2014,Platform
Squirm,Microsoft,,,,,2009,Misc
Dolmus Driver,Gripati Digital Entertainment,,,,,2013,Misc
F1 Grand Prix,Sony Computer Entertainment,6,,,0,2005,Racing
MotoGP,Namco,,,,0.27,2000,Racing
Yo-Ho Kablammo,Microsoft,,,,,2009,Action
StarBlade α,Sony Computer Entertainment,,,,0.16,1996,Shooter
Espgaluda,Arika,,,,,2004,Shooter
Volvo: Drive for Life,Microsoft,,,,,2005,Racing
Mahou Shoujo Mana,Touchable,,,,,2006,Adventure
Stronghold 2,2K Games,,,0.3,,2005,Strategy
Theme Park,Electronic Arts,,,,0.08,1995,Simulation
Popeye no Eigo Asobi,Nintendo,,,,,1983,Misc
Elf: The Movie,Crave Entertainment,,,,0.15,2004,Action
Top Players Tennis,Asmik Corp,,,,,1990,Sports
Virtua Cop 2,Sega,,,,0.3,1996,Shooter
J-League Jikkyou Winning Eleven '98-'99,Konami,,,,,1998,Sports
Lords of EverQuest,Sony Online Entertainment,,,,,2003,Strategy
Chaos Legion,Capcom,6.2,,,0.3,2003,Action
Simple 1500 Series Vol. 81: The Renai Adventure - Okaeri!,D3 Publisher,,,,,2001,Adventure
"Tengai ni Mau, Iki na Hana",Idea Factory,,,,0.01,2018,Visual Novel
Mystery in London: On the Trail of Jack the Ripper,Big Fish Games,,,,,2007,Adventure
State of Decay: Year One Survival Edition,Microsoft Studios,,,,0.21,2015,Action-Adventure
Real Racing 3,Electronic Arts,,,,,2013,Misc
BOX BOY! + BOX GIRL!,Nintendo,,,,,2019,Puzzle
Bang Attack,Engine Software,,,,,2010,Puzzle
Doraemon Quiz Boy 2,Epoch,,,,,2002,Misc
Sugar Bunnies DS: Yume no Sweets Koubou,Takara Tomy,,,,,2007,Simulation
Boom Chick Chick,Microsoft,,,,,2009,Shooter
River City Soccer Hooligans,Aksys Games,,,,0.05,2010,Sports
Brandish: The Dark Revenant,Falcom Corporation,,,,0.02,2009,Role-Playing
The Lost World: Jurassic Park,Electronic Arts,,,,1.02,1997,Action
Fire Emblem: Shadow Dragon,Nintendo,,,,,2009,Role-Playing
Rhythm de RunRunRun,Alpha Unit,,,,,2009,Misc
Maya the Bee: Garden Adventures,Acclaim Entertainment,,,,,2000,Action
God of War III Remastered,Sony Computer Entertainment Europe,,,,0.03,2015,Action
Out of the Park Baseball II,Out of the Park Developments,,,,,2001,Sports
Untold Legends: The Warriors Code,Sony Online Entertainment,,,,,2008,Role-Playing
Odekake! Earth Seeker,Enterbrain,,,,,2011,Misc
Kingdom of Paradise,Sony Computer Entertainment,7,,,0.15,2005,Role-Playing
Exhibition Volume 4,Microsoft,,,,0.07,2003,Misc
Grand Theft Auto V,Rockstar Games,9.4,,,20.32,2013,Action
Jackpot Slots - Slot Machines,GREE,,,,,2012,Misc
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,Sega,,,,0.16,2009,Sports
Republique,GungHo Online Entertainment,,,,,2015,Action-Adventure
Madagascar: Escape 2 Africa,Activision,,,,0.74,2008,Action
Leisure Suit Larry: Wet Dreams Don't Dry,Assemble Entertainment,,,,0.01,2018,Adventure
Dead or Alive 5,Tecmo Koei,,,1.5,,2012,Fighting
Pure Farming 2018,Techland,7,,,0.04,2018,Simulation
Chicago Syndicate,Sega,,,,,1995,Action
RockMan EXE 4.5 Real Operation,Capcom,,,,0.08,2004,Role-Playing
Sugar Sugar Rune: Koimo Osharemo Pick-Up,Bandai,,,,,2005,Action
Amerzone: The Explorer's Legacy,Ubisoft,,,,,1999,Adventure
Konjiki no Gashbell!! Gekitou! Saikyou no Mamonotachi,Bandai,,,,,2004,Action
Lichtspeer: Double Speer Edition,Crunching Koalas,,,,,2017,Action
"Barbie: Jet, Set & Style!",THQ,,,,0.43,2011,Misc
Star Trek: Starship Creator Deluxe,Simon & Schuster Interactive,,,,,1998,Simulation
Monster Lair,Nintendo,,,,,2007,Platform
"YOU, ME, and the CUBES",Nintendo,,,,,2009,Puzzle
Banjo-Kazooie: Grunty's Revenge,THQ,6.6,,,0.33,2003,Platform
Toy Stunt Bike,Unknown,,,,,2014,Racing
Unreal Tournament 2004: Editor's Choice Edition,Atari,,,,,2004,Shooter
Lost Magic,Ubisoft,,,,0.12,2006,Role-Playing
God of War: Ascension,Sony Computer Entertainment,,,3,,2013,Action
Worms Reloaded,Team17 Software,8.5,,,0.05,2010,Strategy
Slotter Mania: Gekinetsu Okisuro! Siosai Special,Dorart,,,,,2001,Misc
Unbound Saga,Vogster Entertainment,4.9,,,,2009,Action
D/Generation HD,West Coast Software,,,,,2018,Puzzle
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,THQ,,,,0.12,2005,Racing
Maneater,Deep Silver,,,,,2020,Action
Plus Plum,Takuyo,,,,,1999,Puzzle
Comic Party,Aquaplus,,,,,2001,Adventure
Oddworld,GT Interactive,,,7.2,,1997,Action-Adventure
Tapper,Sega,,,,,1983,Action
Digimon World DS (JP sales),Namco Bandai,,,,0.23,2006,Role-Playing
Ms. Pac-Man (Tengen),Tengen,,,,,1990,Puzzle
